Local Authority,Ward,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,PC change
Lambeth,Thornton,489424,488500,496685,662462,659018,674672,35.83
Lambeth,Thurlow Park,413058,403794,406004,625352,616709,592288,45.88
Lambeth,Tulse Hill,332921,345651,372077,543699,562431,560046,50.52
Lambeth,Vassall,382748,396055,410273,484736,511842,479703,16.92
Lewisham,Bellingham,213953,218063,219153,354241,373243,368665,68.22
Lewisham,Blackheath,415654,424667,432362,565617,525254,559322,29.36
Lewisham,Brockley,294071,306670,320899,488121,501287,518567,61.6
Lewisham,Catford South,279590,276326,291475,473557,491863,485466,66.55
Lewisham,Crofton Park,328327,343754,361150,527547,542753,534298,47.94
Lewisham,Downham,204846,208713,218721,339208,336613,336852,54.01
Lewisham,Evelyn,276735,281860,286274,480918,488353,497521,73.79
Lewisham,Forest Hill,356761,361430,363698,507455,552648,559668,53.88
Lewisham,Grove Park,237222,248178,252943,371076,374166,369502,46.08
Lewisham,Ladywell,307030,333142,357270,517186,534598,551677,54.41
Lewisham,Lee Green,324650,330007,358971,560484,573418,565075,57.41
Lewisham,Lewisham Central,244985,250946,257112,381540,387629,412649,60.49
Lewisham,New Cross,209979,219097,222252,364682,369224,383257,72.44
Lewisham,Perry Vale,294600,299887,316882,493281,522973,528336,66.73
Lewisham,Rushey Green,236149,249335,254169,414783,429564,429652,69.04
Lewisham,Sydenham,277946,288047,295946,452570,476938,483366,63.33
Lewisham,Telegraph Hill,362459,355057,329585,519200,534108,571311,73.34
Lewisham,Whitefoot,215851,216294,220807,346641,352811,350720,58.84
Merton,Abbey,423489,440253,458429,590565,596349,572449,24.87
Merton,Cannon Hill,352215,353598,378605,527952,532358,540698,42.81
Merton,Colliers Wood,276197,283676,289654,448781,451208,461889,59.46
Merton,Cricket Green,221680,226992,214558,311148,322886,317274,47.87
Merton,Dundonald,523431,531785,524040,673977,687167,723712,38.1
Merton,Figge's Marsh,209069,213311,218790,319058,324718,329982,50.82
Merton,Graveney,286105,291954,296667,494696,489182,488902,64.8
Merton,Hillside,724069,772194,769790,1030699,1034924,942672,22.46
Merton,Lavender Fields,221324,229782,241792,354827,359925,359685,48.76
Merton,Longthornton,244392,254337,267373,392174,395717,391875,46.57
Merton,Lower Morden,269284,270815,275627,407199,418240,421527,52.93
Merton,Merton Park,468981,474636,461070,607567,632296,640867,39
Merton,Pollards Hill,220793,226712,232009,364522,354334,346969,49.55
Merton,Ravensbury,249768,268765,269610,361040,357344,350749,30.09
Merton,Raynes Park,597017,623413,601591,744952,688951,742926,23.49
Merton,St Helier,234810,240923,238451,376726,379231,391505,64.19
Merton,Trinity,473469,498341,510076,695482,695609,730400,43.19
Merton,Village,1618121,1631931,1564052,2216027,2088191,1891716,20.95
Merton,West Barnes,391994,391966,412505,499532,499670,558594,35.41
Merton,Wimbledon Park,647782,646366,681325,858825,879159,873139,28.15
Newham,Beckton,210542,211221,210958,361098,384377,388760,84.28
Newham,Boleyn,209534,211272,216220,351376,354095,360678,66.81
Newham,Canning Town North,233479,234747,229093,362837,364505,329833,43.97
Newham,Canning Town South,223281,240232,240597,395761,392974,388305,61.39
Newham,Custom House,209378,210285,214527,342423,339636,340393,58.67
Newham,East Ham Central,204407,201221,200995,338264,345860,346545,72.41
Newham,East Ham North,217389,220280,222812,364000,358463,369250,65.72
Newham,East Ham South,198352,196584,200674,316075,321955,314909,56.93
Newham,Forest Gate North,251434,249533,254192,423570,432380,441897,73.84
Newham,Forest Gate South,247109,247699,263357,424107,439573,446396,69.5
Newham,Green Street East,207647,207972,217345,356524,374338,379191,74.46
Newham,Green Street West,199578,209375,222427,403794,397549,380000,70.84
Newham,Little Ilford,188953,187722,195481,304900,304137,299370,53.15
Newham,Manor Park,211417,221872,228610,375256,375564,384236,68.07
Newham,Plaistow North,214830,217011,219319,330423,333532,332035,51.39
Newham,Plaistow South,194544,196832,205809,342300,339887,372094,80.8
Newham,Royal Docks,280591,273091,276359,531566,499325,481169,74.11
Newham,Stratford & New Town,242000,250931,247398,435729,445336,442431,78.83
Newham,Wall End,208415,205216,206169,341913,336489,340434,65.12
Newham,West Ham,225422,227135,232615,357396,363498,374408,60.96
Redbridge,Aldborough,249166,249968,244899,380312,385190,372382,52.06
Redbridge,Barkingside,315233,322960,333136,433291,446880,463287,39.07
Redbridge,Bridge,286726,292387,297544,441024,447598,461062,54.96
Redbridge,Chadwell,226571,227087,232371,330602,329676,329167,41.66
Redbridge,Church End,328141,341357,363373,496572,507522,515066,41.75
Redbridge,Clayhall,356654,353902,354692,511040,518654,516819,45.71
Redbridge,Clementswood,198280,202661,208387,307025,320280,329499,58.12
Redbridge,Cranbrook,339711,340044,354246,408422,432495,467232,31.89
Redbridge,Fairlop,285357,300435,312366,447621,442803,428969,37.33
Redbridge,Fullwell,261939,265590,272171,420813,415386,414517,52.3
Redbridge,Goodmayes,221770,225510,247412,342515,343242,365741,47.83
Redbridge,Hainault,219335,224179,225916,356434,358898,362299,60.37
Redbridge,Loxford,200672,203367,213719,312690,315929,317600,48.61
Redbridge,Mayfield,282497,279657,275470,419546,416662,407411,47.9
Redbridge,Monkhams,463394,497131,514267,608012,667326,699313,35.98
Redbridge,Newbury,262071,260214,257004,367110,385383,393263,53.02
Redbridge,Roding,319192,318246,319239,504825,501491,507500,58.97
Redbridge,Seven Kings,249619,257434,260251,372646,378572,390053,49.88
Redbridge,Snaresbrook,376653,397895,404920,515440,534733,553301,36.64
Redbridge,Valentines,271485,262417,255271,356654,361085,340917,33.55
Redbridge,Wanstead,470758,461095,460287,665407,682588,696452,51.31
Richmond upon Thames,Barnes,1085009,1294894,1327565,1400240,1426592,1438492,8.36
Richmond upon Thames,East Sheen,828239,835905,918900,1089855,1096997,1092493,18.89
Richmond upon Thames,Fulwell & Hampton Hill,516579,499314,508849,645647,629650,634892,24.77
Richmond upon Thames,"Ham, Petersham & Richmond Riverside",605053,679749,665125,1070354,1104120,1104723,66.09
Richmond upon Thames,Hampton,455766,454830,487394,671276,668903,694450,42.48
Richmond upon Thames,Hampton North,359443,342506,360008,491469,500265,502830,39.67
Richmond upon Thames,Hampton Wick,512356,534894,525240,725548,766377,756766,44.08
Richmond upon Thames,Heathfield,328524,341539,334298,484601,504443,510379,52.67
Richmond upon Thames,Kew,735343,753381,768602,865821,909081,859994,11.89
Richmond upon Thames,Mortlake & Barnes Common,706394,718634,712878,1045971,992283,1008301,41.44
Richmond upon Thames,North Richmond,585910,609846,634280,760090,753149,747331,17.82
Richmond upon Thames,South Richmond,901016,919054,868110,969405,999064,1025864,18.17
Richmond upon Thames,South Twickenham,529544,582723,571806,673968,689438,694069,21.38
Richmond upon Thames,St Margarets & North Twickenham,633234,651557,631124,810921,823248,843181,33.6
Richmond upon Thames,Teddington,559028,576028,591702,731774,749427,764414,29.19
Richmond upon Thames,Twickenham Riverside,650277,661093,681443,738557,759073,847556,24.38
Richmond upon Thames,West Twickenham,377937,397592,426766,573051,570006,569291,33.4
Richmond upon Thames,Whitton,345602,350019,354213,496447,480845,495412,39.86
Southwark,Brunswick Park,398640,407802,419553,509446,493365,496259,18.28
Southwark,Camberwell Green,290722,275323,275926,478497,484840,473174,71.49
Southwark,Cathedrals,710339,785190,837875,781410,931484,869641,3.79
Southwark,Chaucer,433733,422425,433343,607003,573751,579646,33.76
Southwark,College,420147,404523,429954,615166,608824,607900,41.39
Southwark,East Dulwich,463828,470801,487102,667874,687068,699949,43.7
Southwark,East Walworth,280651,294799,328028,537182,542797,537573,63.88
Southwark,Faraday,283582,293829,308036,509766,510374,488421,58.56
Southwark,Grange,443946,458898,453235,609090,600433,606341,33.78
Southwark,Livesey,254207,272104,283042,431354,454430,468258,65.44
Southwark,Newington,354966,366394,357652,541682,559670,571497,59.79
Southwark,Nunhead,346643,353678,369788,528395,524770,534679,44.59
Southwark,Peckham,235206,237882,244456,363409,388680,392614,60.61
Southwark,Peckham Rye,392095,398549,419885,574123,603715,604838,44.05
Southwark,Riverside,600885,620233,606309,1309438,1370324,1323508,118.29
Southwark,Rotherhithe,381689,384161,387707,514542,555525,552956,42.62
Southwark,South Bermondsey,250883,255173,251014,437949,434947,413350,64.67
Southwark,South Camberwell,402464,429530,461444,557372,556471,556903,20.69
Southwark,Surrey Docks,350964,375391,385614,547871,563641,570694,48
Southwark,The Lane,387024,395434,420580,582532,601142,586688,39.49
Southwark,Village,774343,815115,837445,1174194,1118064,1091569,30.35
Sutton,Beddington North,247543,250289,260619,369651,376468,393909,51.14
Sutton,Beddington South,323190,346282,347715,371097,367294,435682,25.3
Sutton,Belmont,322191,324539,324782,454156,466623,445930,37.3
Sutton,Carshalton Central,288062,296334,298236,429802,432694,436463,46.35
Sutton,Carshalton South & Clockhouse,370647,359388,348359,464408,489025,505269,45.04
Sutton,Cheam,536169,523556,526201,680372,699230,654095,24.31
Sutton,Nonsuch,342266,349630,347919,488420,505039,509723,46.51
Sutton,St Helier,207044,208712,209177,327415,321189,319940,52.95
Sutton,Stonecot,269545,277632,288213,416999,422382,435175,50.99
Sutton,Sutton Central,217808,222303,219371,329642,323289,328273,49.64
Sutton,Sutton North,249152,257562,258940,372710,368682,395740,52.83
Sutton,Sutton South,215164,232754,245475,348346,345249,332391,35.41
Sutton,Sutton West,267903,270191,269954,376178,373587,379233,40.48
Sutton,The Wrythe,221501,228358,232624,352736,357090,362439,55.8
Sutton,Wallington North,256901,251130,243853,350077,361688,361441,48.22
Sutton,Wallington South,268105,285600,289286,364896,390603,391887,35.47
Sutton,Wandle Valley,197393,198845,201636,317034,311887,307185,52.35
Sutton,Worcester Park,288560,285267,292787,419750,425524,421698,44.03
Tower Hamlets,Bethnal Green,310546,309483,312470,549665,538683,525946,68.32
Tower Hamlets,Blackwall & Cubitt Town,396807,397510,401396,562595,595148,582505,45.12
Tower Hamlets,Bow East,299962,308272,311602,432058,426481,434226,39.35
Tower Hamlets,Bow West,403358,425782,437680,722079,717962,710281,62.28
Tower Hamlets,Bromley North,240354,254258,262480,406939,399536,351959,34.09
Tower Hamlets,Bromley South,302900,298684,292063,400664,392328,384500,31.65
Tower Hamlets,Canary Wharf,458169,461356,476785,553306,540760,531985,11.58
Tower Hamlets,Island Gardens,344055,354226,359627,495611,489611,487029,35.43
Tower Hamlets,Lansbury,270952,272522,268370,376025,378488,385002,43.46
Tower Hamlets,Limehouse,453258,474473,502268,579248,618523,629251,25.28
Tower Hamlets,Mile End,281160,281406,281536,404781,416856,429448,52.54
Tower Hamlets,Poplar,302349,289385,288017,361906,383732,506825,75.97
Tower Hamlets,Shadwell,296586,297426,327276,446758,447824,424586,29.73
Tower Hamlets,Spitalfields & Banglatown,500631,529690,558993,706126,663383,674823,20.72
Tower Hamlets,St Dunstan's,309696,321000,324516,422052,435297,420594,29.61
Tower Hamlets,St Katharine's & Wapping,462823,491817,589921,832676,863286,873552,48.08
Tower Hamlets,St Peter's,320505,321978,329865,553376,534576,538652,63.29
Tower Hamlets,Stepney Green,298323,298197,299226,431757,473544,503758,68.35
Tower Hamlets,Weavers,425147,433306,456867,683039,690667,689096,50.83
Tower Hamlets,Whitechapel,394967,471614,484349,670012,725617,741377,53.07
Waltham Forest,Cann Hall,229713,228659,235030,447391,442708,435090,85.12
Waltham Forest,Cathall,215550,218026,227488,414741,425289,414036,82
Waltham Forest,Chapel End,243734,248984,263788,448883,462078,447639,69.7
Waltham Forest,Chingford Green,293854,306917,323399,448002,476337,490650,51.72
Waltham Forest,Endlebury,281742,298616,308385,467592,471230,463642,50.35
Waltham Forest,Forest,271897,288726,299316,469080,472769,477099,59.4
Waltham Forest,Grove Green,231468,253627,266408,444083,458502,471350,76.93
Waltham Forest,Hale End & Highams Park,287747,301172,325561,501700,504103,496428,52.48
Waltham Forest,Hatch Lane,297106,298541,311453,433222,453635,467592,50.13
Waltham Forest,High Street,246633,258050,273498,467050,487833,478386,74.91
Waltham Forest,Higham Hill,226857,231065,247757,406942,421386,423517,70.94
Waltham Forest,Hoe Street,287521,309443,317907,513236,528640,546549,71.92
Waltham Forest,Larkswood,257079,260295,274428,381197,384288,382838,39.5
Waltham Forest,Lea Bridge,215495,222075,233317,396468,407227,408588,75.12
Waltham Forest,Leyton,223106,231057,236765,422117,422025,415886,75.65
Waltham Forest,Leytonstone,293193,308056,309138,463832,491163,495183,60.18
Waltham Forest,Markhouse,244504,247331,264761,468899,461902,467279,76.49
Waltham Forest,Valley,233202,250136,258955,369344,368510,376033,45.21
Waltham Forest,William Morris,247548,259466,278297,480190,493737,509625,83.12
Waltham Forest,Wood Street,291201,309760,318194,473257,478951,512225,60.98
Wandsworth,Balham,676429,686303,663753,851739,878882,888156,33.81
Wandsworth,Bedford,513090,523291,539146,700811,739671,709798,31.65
Wandsworth,Earlsfield,446913,468988,486931,623922,616793,619168,27.16
Wandsworth,East Putney,523433,547797,573754,685801,677953,661200,15.24
Wandsworth,Fairfield,522781,545740,549687,741946,730805,739011,34.44
Wandsworth,Furzedown,332633,347196,363226,552917,545782,550938,51.68
Wandsworth,Graveney,338932,352336,378582,563139,574972,578610,52.84
Wandsworth,Latchmere,412036,420858,457747,596196,601859,638648,39.52
Wandsworth,Nightingale,609671,654804,696666,806047,830951,806976,15.83
Wandsworth,Northcote,763368,774686,812991,890605,928971,963633,18.53
Wandsworth,Queenstown,530778,561155,592343,1093921,1026268,1021487,72.45
Wandsworth,Roehampton & Putney Heath,380526,430208,440776,901202,657270,731924,66.05
Wandsworth,Shaftesbury,617062,642786,650124,903752,851795,852771,31.17
Wandsworth,Southfields,505836,513610,499108,683642,673391,673025,34.85
Wandsworth,St Mary's Park,592793,633995,683565,850535,855801,875767,28.12
Wandsworth,Thamesfield,667968,687811,677684,869562,915751,903005,33.25
Wandsworth,Tooting,354281,368981,380011,613650,581965,569395,49.84
Wandsworth,Wandsworth Common,743554,746375,775512,1053965,1091712,1043730,34.59
Wandsworth,West Hill,430806,444777,449234,574473,550203,573411,27.64
Wandsworth,West Putney,614782,661696,664867,764934,733862,689382,3.69
Westminster,Abbey Road,1471164,1614483,1630243,1810605,1923519,2186667,34.13
Westminster,Bayswater,1088274,1099597,1112945,1294191,1346291,1387714,24.69
Westminster,Bryanston & Dorset Square,1017506,1072085,1153247,1266637,1357393,1337230,15.95
Westminster,Church Street,504332,539619,519432,597727,604129,571069,9.94
Westminster,Churchill,838818,899215,966793,1129139,1079941,956888,-1.02
Westminster,Harrow Road,460134,465862,489935,588741,600849,608457,24.19
Westminster,Hyde Park,877136,945560,1008482,1396283,1384037,1500568,48.79
Westminster,Knightsbridge & Belgravia,4826720,4445967,4714470,4630831,4721014,4416659,-6.32
Westminster,Lancaster Gate,1349033,1415395,1235696,1435981,1528654,1542499,24.83
Westminster,Little Venice,1071336,1235330,1181779,1678059,1481110,1466610,24.1
Westminster,Maida Vale,720178,738625,782979,854943,923898,995992,27.21
Westminster,Marylebone High Street,1317811,1384350,1540060,1882748,1961219,2856436,85.48
Westminster,Queen's Park,473803,459981,483569,649742,645940,637345,31.8
Westminster,Regent's Park,1193488,1322778,1339382,1558224,1562488,1510021,12.74
Westminster,St James's,1280922,1352854,1373266,1925721,1826101,1995254,45.29
Westminster,Tachbrook,732263,691564,688332,924015,994741,1001737,45.53
Westminster,Vincent Square,846848,874492,876039,1921274,1702596,1353427,54.49
Westminster,Warwick,960133,1038268,1056622,1196036,1106363,987346,-6.56
Westminster,West End,2062549,2096297,2146616,2818332,3128022,3033757,41.33
Westminster,Westbourne,479140,493826,493478,885769,826390,765072,55.04
